"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"RT @CadeMetz: Tax forms from OpenAI -- the artificial intelligence lab founded by Elon Musk -- open a new window onto salaries and bonuses…";FALSE;0;NA;2018-04-20 21:52:37;FALSE;NA;"987448981386080258";NA;"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>";"Noha_art";134;TRUE;FALSE;NA;NA
"RT @srkninci: Yapay Zeka üzerine arastirma yapan mühendisler, yilda 1 milyon dolar kazanabiliyorlar. Hem de sermayesiz

Ylisans, doktora dü…";FALSE;0;NA;2018-04-20 21:52:29;FALSE;NA;"987448947710054401";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"faturali_hayat";10;TRUE;FALSE;NA;NA
"Chinese factories deploy AI to grow more than 6 billion roaches a year https://t.co/DrBFYDAjTv #web #marketing… https://t.co/3KcQeG48fn";FALSE;1;NA;2018-04-20 21:52:29;TRUE;NA;"987448945717727232";NA;"<a href=\"http://twibble.io\" rel=\"nofollow\">Twibble.io</a>";"Emeric_Lefort";0;FALSE;FALSE;NA;NA
"Chinese factories deploy AI to grow more than 6 billion roaches a year https://t.co/TvXtuIE47i";FALSE;0;NA;2018-04-20 21:52:09;FALSE;NA;"987448862699900929";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"KalatiBa";0;FALSE;FALSE;NA;NA
"Artificial intelligence: the game changer in financial services — P101 https://t.co/v7OEeDqb3f https://t.co/VLg5NTcSAf";FALSE;0;NA;2018-04-20 21:52:06;FALSE;NA;"987448851832430593";NA;"<a href=\"https://upflow.co\" rel=\"nofollow\">Upflow</a>";"Microglyphics";0;FALSE;FALSE;NA;NA
"Home-based devices are finding a #voice
Artificial intelligence (#AI) devices are gaining traction in the home but… https://t.co/ZMWGFzlHMg";FALSE;0;NA;2018-04-20 21:52:01;TRUE;NA;"987448829459992576";NA;"<a href=\"http://bufferapp.com\" rel=\"nofollow\">Buffer</a>";"davidjmaireles";0;FALSE;FALSE;NA;NA
"RT @anton_chuvakin: \"Security and risk providers' excessive use of messaging around artificial intelligence and machine learning has left c…";FALSE;0;NA;2018-04-20 21:51:56;FALSE;NA;"987448807184052224";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"cjkonrad";3;TRUE;FALSE;NA;NA
"RT @QuantaMagazine: The gaming world is fast becoming a realm ruled by AIs. As human champions of games like Chess and Go are being bested…";FALSE;0;NA;2018-04-20 21:51:48;FALSE;NA;"987448774946639874";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"XavierFerras";14;TRUE;FALSE;NA;NA
"RT @stevekrohn: Chinese factories deploy AI to grow more than 6 billion roaches a year https://t.co/UFOMFF4Eon https://t.co/zsLMomRqv2";FALSE;0;NA;2018-04-20 21:51:45;FALSE;NA;"987448760270667777";NA;"<a href=\"https://zeit.co/dashboard\" rel=\"nofollow\">bigiebig2</a>";"bigiebig1";1;TRUE;FALSE;NA;NA
"Chinese factories deploy AI to grow more than 6 billion roaches a year 
In what sounds like the stuff nightmares ar… https://t.co/3f4VjJZ7of";FALSE;0;NA;2018-04-20 21:51:39;TRUE;NA;"987448736983977989";NA;"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>";"QMalikFulton";0;FALSE;FALSE;NA;NA
"RT @paulrayner60: Do-it-yourself 
artificial intelligence
https://t.co/lXdisuYgDs
via @GoogleForEdu 
#elearning #edtech #ai #makered";FALSE;0;NA;2018-04-20 21:51:35;FALSE;NA;"987448718562603008";NA;"<a href=\"http://www.cindie.com.br/\" rel=\"nofollow\">RetTuiting</a>";"EdGameTec";2;TRUE;FALSE;NA;NA
"RT @wef: In under 9 minutes. Learn more: https://t.co/DtPc0Ulojx https://t.co/CuqFrZzLuw";FALSE;0;NA;2018-04-20 21:51:28;FALSE;NA;"987448691949752322";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Sven74083771";126;TRUE;FALSE;NA;NA
"RT @Jisc: Artificial Intelligence is transforming many human activities, ranging from daily chores to highly sophisticated tasks. But how h…";FALSE;0;NA;2018-04-20 21:51:16;FALSE;NA;"987448642620608513";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"2standandstare";5;TRUE;FALSE;NA;NA
"RT @david_h_a_l: Kai- Fu Lee, the Chinese rock star of #artificialintelligence https://t.co/yErRQWLfdW #ai https://t.co/1s6b9tRlaV";FALSE;0;NA;2018-04-20 21:51:13;FALSE;NA;"987448626489184257";NA;"<a href=\"https://apps.twitter.com/app/new\" rel=\"nofollow\">boting bot</a>";"hrabiaKent";2;TRUE;FALSE;NA;NA
"RT @dbrainio: AI needs to be at the service of deepening human relationships. It has a potential to customize and deepen the consumer exper…";FALSE;0;NA;2018-04-20 21:51:11;FALSE;NA;"987448617735802880";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"gereksizlique";195;TRUE;FALSE;NA;NA
"Chinese factories deploy AI to grow more than 6 billion roaches a year: In what sounds like the stuff... https://t.co/QOEGBsp2Pu";FALSE;0;NA;2018-04-20 21:51:04;FALSE;NA;"987448589252210688";NA;"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>";"TechKnowledgeIt";0;FALSE;FALSE;NA;NA
"Chinese factories deploy AI to grow more than 6 billion roaches a year https://t.co/ehRH72A2MY https://t.co/RdyvVRyZP6";FALSE;0;NA;2018-04-20 21:51:01;FALSE;NA;"987448579395674112";NA;"<a href=\"http://madestone.ru\" rel=\"nofollow\">TpiMix</a>";"medrankru";0;FALSE;FALSE;NA;NA
"RT @dbrainio: AI needs to be at the service of deepening human relationships. It has a potential to customize and deepen the consumer exper…";FALSE;0;NA;2018-04-20 21:50:54;FALSE;NA;"987448550253563907";NA;"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>";"Ruslikgym";195;TRUE;FALSE;NA;NA
